time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity,.acceleration
1970/01/01/01:00:00.902000,1,0,901000000,,2.0,0.0,0.0
1970/01/01/01:00:00.921000,2,0,921000000,,2.0,0.0,0.0
1970/01/01/01:00:00.942000,3,0,942000000,,2.0,0.0,0.0
1970/01/01/01:00:00.962000,4,0,962000000,,2.0,0.0,0.0
1970/01/01/01:00:00.982000,5,0,981000000,,2.0,0.0,0.0
1970/01/01/01:00:01.001000,6,1,1000000,,2.0,0.0,0.0
1970/01/01/01:00:01.022000,7,1,21000000,,2.0,0.0,0.0
1970/01/01/01:00:01.042000,8,1,41000000,,2.0,0.0,0.0
1970/01/01/01:00:01.062000,9,1,62000000,,2.0,0.0,0.0
1970/01/01/01:00:01.081000,10,1,81000000,,2.0,0.0,0.0
1970/01/01/01:00:01.102000,11,1,101000000,,2.0,0.0,0.0
1970/01/01/01:00:01.121000,12,1,121000000,,2.0,0.0,0.0
1970/01/01/01:00:01.142000,13,1,142000000,,2.0,0.0,0.0
1970/01/01/01:00:01.161000,14,1,161000000,,2.0,0.0,0.0
1970/01/01/01:00:01.182000,15,1,181000000,,2.0,0.0,0.0
1970/01/01/01:00:01.202000,16,1,201000000,,2.0,0.0,0.0
1970/01/01/01:00:01.222000,17,1,221000000,,2.0,0.0,0.0
1970/01/01/01:00:01.245000,18,1,245000000,,2.0,0.0,0.0
1970/01/01/01:00:01.261000,19,1,261000000,,2.0,0.0,0.0
1970/01/01/01:00:01.282000,20,1,281000000,,2.0,0.0,0.0
1970/01/01/01:00:01.302000,21,1,301000000,,2.0,0.0,0.0
1970/01/01/01:00:01.322000,22,1,321000000,,2.0,0.0,0.0
1970/01/01/01:00:01.341000,23,1,341000000,,2.0,0.0,0.0
1970/01/01/01:00:01.362000,24,1,362000000,,2.0,0.0,0.0
1970/01/01/01:00:01.384000,25,1,383000000,,2.0,0.0,0.0
1970/01/01/01:00:01.402000,26,1,401000000,,2.0,0.0,0.0
1970/01/01/01:00:01.422000,27,1,422000000,,2.0,0.0,0.0
1970/01/01/01:00:01.441000,28,1,441000000,,2.0,0.0,0.0
1970/01/01/01:00:01.461000,29,1,461000000,,2.0,0.0,0.0
1970/01/01/01:00:01.482000,30,1,481000000,,2.0,0.0,0.0
1970/01/01/01:00:01.502000,31,1,502000000,,2.0,0.0,0.0
1970/01/01/01:00:01.521000,32,1,521000000,,2.0,0.0,0.0
1970/01/01/01:00:01.541000,33,1,541000000,,2.0,0.0,0.0
1970/01/01/01:00:01.562000,34,1,561000000,,2.0,0.0,0.0
1970/01/01/01:00:01.582000,35,1,581000000,,2.0,0.0,0.0
1970/01/01/01:00:01.602000,36,1,601000000,,2.0,0.0,0.0
1970/01/01/01:00:01.622000,37,1,622000000,,2.0,0.0,0.0
1970/01/01/01:00:01.642000,38,1,641000000,,2.0,0.0,0.0
1970/01/01/01:00:01.661000,39,1,661000000,,2.0,0.0,0.0
1970/01/01/01:00:01.682000,40,1,682000000,,2.0,0.0,0.0
1970/01/01/01:00:01.702000,41,1,702000000,,2.0,0.0,0.0
1970/01/01/01:00:01.722000,42,1,721000000,,2.0,0.0,0.0
1970/01/01/01:00:01.743000,43,1,741000000,,2.0,0.0,0.0
1970/01/01/01:00:01.762000,44,1,761000000,,2.0,0.0,0.0
1970/01/01/01:00:01.784000,45,1,784000000,,2.0,0.0,0.0
1970/01/01/01:00:01.802000,46,1,801000000,,2.0,0.0,0.0
1970/01/01/01:00:01.821000,47,1,821000000,,2.0,0.0,0.0
1970/01/01/01:00:01.841000,48,1,841000000,,2.0,0.0,0.0
1970/01/01/01:00:01.862000,49,1,861000000,,2.0,0.0,0.0
1970/01/01/01:00:01.881000,50,1,881000000,,2.0,0.0,0.0
1970/01/01/01:00:01.902000,51,1,901000000,,2.0,0.0,0.0
1970/01/01/01:00:01.921000,52,1,921000000,,2.0,0.0,0.0
1970/01/01/01:00:01.942000,53,1,941000000,,2.0,0.0,0.0
1970/01/01/01:00:01.963000,54,1,962000000,,2.0,0.0,0.0
1970/01/01/01:00:01.982000,55,1,981000000,,2.0,0.0,0.0
1970/01/01/01:00:02.002000,56,2,1000000,,2.0,0.0,0.0
1970/01/01/01:00:02.022000,57,2,22000000,,2.0,0.0,0.0
1970/01/01/01:00:02.042000,58,2,41000000,,2.0,0.0,0.0
1970/01/01/01:00:02.061000,59,2,61000000,,2.0,0.0,0.0
1970/01/01/01:00:02.083000,60,2,82000000,,2.0,0.0,0.0
1970/01/01/01:00:02.102000,61,2,102000000,,2.0,0.0,0.0
1970/01/01/01:00:02.122000,62,2,121000000,,2.0,0.0,0.0
