time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.level,.name,.msg,.file,.function,.line,.topics
1970/01/01/01:00:00.146000,7,0,0,,2,/record,Subscribing to /rosout,/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,213,['/rosout']
1970/01/01/01:00:00.146000,8,0,0,,2,/record,Subscribing to /thrust,/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,213,['/rosout']
1970/01/01/01:00:00.146000,9,0,0,,2,/record,Subscribing to /vertical_thrust,/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,213,['/rosout']
1970/01/01/01:00:00.146000,10,0,0,,2,/record,Subscribing to /x_setpoint,/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,213,['/rosout']
1970/01/01/01:00:00.146000,11,0,0,,2,/record,Subscribing to /y_setpoint,/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,213,['/rosout']
1970/01/01/01:00:00.146000,12,0,0,,2,/record,Subscribing to /yaw,/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,213,['/rosout']
1970/01/01/01:00:00.146000,13,0,0,,2,/record,Subscribing to /yaw_setpoint,/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,213,['/rosout']
1970/01/01/01:00:00.146000,14,0,0,,2,/record,Subscribing to /z_setpoint,/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,213,['/rosout']
1970/01/01/01:00:00.146000,1,0,0,,2,/gazebo,"waitForService: Service [/gazebo/set_physics_properties] has not been advertised, waiting...",/tmp/binarydeb/ros-melodic-roscpp-1.14.10/src/libros/service.cpp,service::exists,80,['/rosout']
1970/01/01/01:00:00.146000,2,0,0,,2,/gazebo,waitForService: Service [/gazebo/set_physics_properties] is now available.,/tmp/binarydeb/ros-melodic-roscpp-1.14.10/src/libros/service.cpp,service::waitForService,123,"['/rosout', '/clock', '/gazebo/link_states', '/gazebo/model_states']"
1970/01/01/01:00:00.146000,3,0,37000000,,2,/gazebo,Physics dynamic reconfigure ready.,/tmp/binarydeb/ros-melodic-gazebo-ros-2.8.7/src/gazebo_ros_api_plugin.cpp,GazeboRosApiPlugin::physicsReconfigureThread,2334,"['/rosout', '/clock', '/gazebo/link_states', '/gazebo/model_states', '/gazebo/parameter_descriptions', '/gazebo/parameter_updates']"
1970/01/01/01:00:00.146000,73,0,0,,2,/mavros,Plugin setpoint_position loaded,/home/rene/fav/catkin_ws/src/mavros/mavros/src/lib/mavros.cpp,MavRos::add_plugin,326,"['/rosout', '/diagnostics', '/tf', '/tf_static', '/mavlink/from', '/mavros/radio_status', '/mavros/target_actuator_control', '/mavros/adsb/vehicle', '/mavros/altitude', '/mavros/cam_imu_sync/cam_imu_stamp', '/mavros/debug_value/debug', '/mavros/debug_value/debug_vector', '/mavros/debug_value/named_value_float', '/mavros/debug_value/named_value_int', '/mavros/esc_info', '/mavros/esc_status', '/mavros/global_position/raw/fix', '/mavros/global_position/raw/gps_vel', '/mavros/global_position/raw/satellites', '/mavros/global_position/global', '/mavros/global_position/local', '/mavros/global_position/rel_alt', '/mavros/global_position/compass_hdg', '/mavros/global_position/gp_origin', '/mavros/global_position/gp_lp_offset', '/mavros/gps_rtk/rtk_baseline', '/mavros/gpsstatus/gps1/raw', '/mavros/gpsstatus/gps2/raw', '/mavros/gpsstatus/gps1/rtk', '/mavros/gpsstatus/gps2/rtk', '/mavros/hil/controls', '/mavros/hil/actuator_controls', '/mavros/home_position/home', '/mavros/imu/data', '/mavros/imu/mag', '/mavros/imu/temperature_imu', '/mavros/imu/temperature_baro', '/mavros/imu/static_pressure', '/mavros/imu/diff_pressure', '/mavros/imu/data_raw', '/mavros/landing_target/pose_in', '/mavros/landing_target/lt_marker', '/mavros/local_position/pose', '/mavros/local_position/pose_cov', '/mavros/local_position/velocity_local', '/mavros/local_position/velocity_body', '/mavros/local_position/velocity_body_cov', '/mavros/local_position/accel', '/mavros/local_position/odom', '/mavros/log_transfer/raw/log_entry', '/mavros/log_transfer/raw/log_data', '/mavros/manual_control/control', '/mavros/mount_control/orientation', '/mavros/odometry/in', '/mavros/param/param_value', '/mavros/px4flow/raw/optical_flow_rad', '/mavros/px4flow/ground_distance', '/mavros/px4flow/temperature', '/mavros/rc/in', '/mavros/rc/out']"
